birth,car,city,class,class_10_after,class_10_before,class_14,county,daughter,depression,edu,edu_other,edu_status,edu_yr,equity,f_birth,f_edu,f_political,f_work_14,family_income,family_m,family_status,floor_area,gender,happiness,health,health_problem,height_cm,house,hukou,hukou_loc,id,inc_ability,inc_exp,income,invest_other,join_party,learn,m_birth,m_edu,m_political,m_work_14,marital,marital_1st,marital_now,minor_child,nationality,neighbor_familiarity,political,property_other,province,relax,religion,religion_freq,s_birth,s_edu,s_hukou,s_income,s_political,s_work_exper,s_work_status,s_work_type,socia_outing,social_friend,social_neighbor,socialize,son,status_3_before,status_peer,survey_time,survey_type,view,weight_jin,work_exper,work_manage,work_status,work_type,work_yr,public_service,trust,invest,insur,leisure,media,property
1940,2,40,3,3,5,2,71,0,4,4,,4.0,1958.0,4,-2,-8,1,1,38400.0,1,4,120.0,1,3.0,3,5,170,1,4,1.0,1117,2,42000.0,38400,,,1,-2,-8,1,15,7,1970.0,,0.0,1,3,1,,15,4,1,1,,,,,,,,,3,,,1,2,2,2,2015/7/11 15:55,1,5,125,5,,,,,685.0,39,1,6,47,13,1
1960,2,78,4,4,3,2,118,0,3,3,,2.0,,2,1934,3,1,1,60000.0,1,2,80.0,2,2.0,3,4,160,1,2,1.0,1118,3,30000.0,25000,,,1,1938,3,1,2,3,1981.0,1981.0,0.0,1,2,1,,27,3,0,7,1959.0,4.0,2.0,35000.0,1.0,1.0,3.0,1.0,1,,,1,1,2,3,2015/8/4 13:16,1,4,130,1,3.0,3.0,1.0,31.0,600.0,26,1,6,52,12,1
1970,1,66,5,6,4,2,106,0,3,4,,4.0,1986.0,4,1945,3,1,1,200000.0,2,4,220.0,1,4.0,4,4,178,2,1,1.0,1119,2,300000.0,200000,,,2,1948,1,1,2,3,1998.0,1998.0,1.0,1,4,1,,22,3,1,1,1972.0,4.0,1.0,5000.0,1.0,1.0,2.0,1.0,3,2.0,2.0,3,1,1,2,2015/7/10 2:02,1,5,150,1,1.0,2.0,1.0,20.0,660.0,38,1,6,44,22,1
1957,2,74,5,6,5,3,114,0,5,9,,4.0,2003.0,4,1930,3,1,2,200000.0,1,4,100.0,1,4.0,5,5,165,1,4,1.0,1120,2,70000.0,50000,,1985.0,3,1932,2,1,2,3,1982.0,1982.0,0.0,1,5,4,,26,3,1,1,1957.0,4.0,1.0,0.0,4.0,3.0,,,1,2.0,2.0,3,1,1,2,2015/8/8 18:00,2,3,130,1,3.0,3.0,1.0,36.0,660.0,39,1,4,41,23,1
1988,2,49,4,5,3,3,82,0,5,4,,4.0,2004.0,3,1965,4,1,9,100000.0,4,3,80.0,1,4.0,4,5,170,1,1,1.0,1121,2,10000.0,35000,,,2,1965,3,1,9,1,,,,1,5,1,,17,5,1,1,,,,,,,,,5,3.0,3.0,4,0,2,2,2015/7/24 10:11,2,3,160,1,3.0,3.0,2.0,7.0,370.0,25,1,6,46,16,1
1961,2,65,3,3,2,1,104,1,2,3,,4.0,1976.0,4,1913,1,1,2,7000.0,3,2,35.0,2,4.0,2,2,147,1,1,1.0,1122,2,10000.0,3000,,,1,1930,1,1,2,3,1980.0,1980.0,0.0,8,5,1,,22,3,1,2,1952.0,3.0,1.0,4000.0,1.0,3.0,,,3,5.0,5.0,2,1,2,3,2015/7/8 11:15,2,3,130,3,,,,,585.0,17,1,6,51,11,1
1976,2,87,3,3,3,3,132,1,5,7,,4.0,-2.0,3,1945,10,4,16,50000.0,4,3,30.0,1,4.0,4,5,173,1,2,1.0,1123,2,50000.0,-2,,,1,1950,6,1,-8,3,2002.0,2002.0,1.0,1,2,1,,31,1,1,1,1976.0,7.0,2.0,20000.0,1.0,1.0,3.0,1.0,1,3.0,2.0,2,0,2,3,2015/8/22 13:30,1,4,160,1,3.0,5.0,1.0,20.0,428.0,-12,1,8,46,10,1
1968,2,46,5,6,4,4,77,1,3,4,,4.0,1984.0,2,1945,3,1,2,80000.0,3,3,120.0,2,3.0,3,4,168,1,1,2.0,1124,-8,500000.0,0,,,3,1947,3,1,2,3,1992.0,1992.0,0.0,1,4,1,,16,3,1,1,1968.0,6.0,1.0,80000.0,1.0,1.0,3.0,1.0,1,2.0,3.0,3,0,2,2,2015/7/25 11:07,1,3,135,5,,,,,600.0,46,1,5,26,20,1
1936,2,1,6,6,4,4,7,1,3,4,,4.0,-2.0,3,-2,1,1,1,72000.0,2,2,34.0,2,4.0,2,2,150,1,2,2.0,1125,3,60000.0,36000,,,1,-2,1,1,-8,3,1960.0,1960.0,0.0,1,4,1,,1,3,1,1,1934.0,4.0,2.0,36000.0,1.0,5.0,,,1,2.0,2.0,2,2,2,3,2015/8/29 10:15,1,3,100,5,,,,,540.0,25,1,6,54,14,1
1939,2,56,5,5,5,4,90,2,3,6,,2.0,-2.0,3,-2,2,1,1,35000.0,2,3,41.0,1,4.0,2,2,166,2,5,1.0,1126,2,60000.0,35000,,,1,-2,1,1,15,3,1967.0,1967.0,0.0,1,5,1,,19,4,1,1,1946.0,4.0,4.0,0.0,1.0,6.0,,,1,2.0,2.0,4,1,2,2,2015/7/19 16:00,1,3,120,5,,,,,655.0,51,1,6,45,11,1
1987,2,27,6,7,6,6,49,0,5,13,,4.0,2014.0,3,1963,6,1,9,100000.0,2,3,110.0,2,5.0,4,5,162,0,2,3.0,1127,2,80000.0,50000,,2011.0,3,1965,5,1,15,3,2015.0,2015.0,,1,2,4,,10,2,1,1,1987.0,13.0,2.0,50000.0,4.0,1.0,3.0,1.0,3,3.0,6.0,2,0,2,2,2015/7/30 16:11,1,4,98,1,3.0,3.0,1.0,1.0,535.0,36,1,6,38,21,1
1985,1,30,6,7,5,5,53,0,3,12,,4.0,2007.0,4,1960,4,1,7,60000.0,3,3,80.0,1,4.0,5,4,178,1,5,1.0,1128,2,60000.0,30000,,,3,1960,3,1,12,3,2009.0,2009.0,1.0,1,3,2,,11,3,1,1,1985.0,10.0,5.0,30000.0,2.0,1.0,6.0,1.0,3,3.0,2.0,3,1,1,2,2015/7/18 15:17,1,3,128,1,1.0,2.0,1.0,7.0,650.0,50,1,6,34,18,1
1962,1,7,5,5,4,2,17,0,4,6,,4.0,1980.0,3,-2,3,1,1,50000.0,4,2,111.0,1,3.0,4,4,165,1,2,2.0,1129,3,6000.0,30000,,,3,-2,3,1,12,3,1985.0,1985.0,0.0,1,3,1,,4,3,1,1,1962.0,7.0,2.0,30000.0,1.0,5.0,,,2,7.0,7.0,3,1,1,2,2015/10/4 15:03,1,3,150,1,3.0,3.0,1.0,32.0,724.0,36,1,4,46,15,1
1969,1,50,4,6,5,6,83,0,3,4,,4.0,1983.0,3,1943,6,1,1,40000.0,3,2,238.0,1,4.0,3,3,168,1,1,1.0,1130,3,-2.0,30000,,,2,1942,6,1,2,3,1990.0,1990.0,1.0,1,4,1,,17,3,1,1,1969.0,3.0,1.0,10000.0,1.0,3.0,,,1,6.0,6.0,3,1,2,2,2015/7/27 12:10,2,4,135,1,2.0,2.0,1.0,28.0,430.0,11,1,6,50,9,1
1992,2,52,4,5,3,3,85,0,4,4,,2.0,-2.0,4,1975,3,1,2,-2.0,4,3,90.0,1,4.0,4,4,175,1,1,1.0,1131,2,100000.0,-3,,,3,1971,3,1,2,1,,,,1,5,1,,18,3,1,1,,,,,,,,,2,2.0,2.0,4,0,2,2,2015/7/21 11:39,2,3,130,2,,,,,640.0,42,1,7,40,19,1
1995,1,18,6,7,4,5,36,0,4,12,,1.0,2013.0,4,1971,12,1,10,500000.0,3,4,45.0,2,5.0,5,5,160,1,5,2.0,1132,-8,100000.0,0,,,3,1971,14,1,15,1,,,,1,3,2,,7,4,1,1,,,,,,,,,6,1.0,7.0,3,0,2,2,2015/8/6 14:18,1,4,95,6,,,,,800.0,17,1,7,27,15,1
1951,2,51,3,3,2,2,84,1,3,1,,,,4,-2,1,1,2,30000.0,2,2,108.0,1,4.0,3,3,170,1,1,1.0,1133,3,10000.0,9000,,,2,-2,1,1,2,3,1973.0,1973.0,0.0,1,4,1,,18,2,1,1,1950.0,1.0,1.0,0.0,1.0,4.0,,,1,1.0,1.0,4,1,1,3,2015/7/27 9:50,1,3,90,1,3.0,4.0,2.0,5.0,630.0,-27,1,6,56,9,1
1934,2,1,5,6,4,3,3,0,3,4,,4.0,-2.0,4,-2,3,1,2,52000.0,2,3,34.0,1,3.0,3,4,167,2,2,1.0,1134,2,50000.0,42000,,,2,-2,2,1,2,3,-3.0,1957.0,0.0,1,4,1,,1,4,1,1,1935.0,2.0,2.0,20000.0,1.0,4.0,,,1,4.0,3.0,3,2,2,2,2015/8/27 9:12,1,3,140,5,,,,,695.0,39,1,6,45,11,1
1950,2,12,6,6,4,2,28,1,4,1,,,,4,-2,-8,1,2,12000.0,1,3,52.0,2,4.0,5,4,157,1,1,2.0,1135,2,20000.0,12000,,,1,-2,1,1,2,7,1972.0,,0.0,1,3,1,,6,4,1,1,,,,,,,,,2,5.0,5.0,3,3,1,2,2015/7/29 16:37,1,3,130,4,,,,,740.0,19,1,6,47,9,2
1947,2,71,1,-8,1,2,111,4,4,1,,,,1,-2,1,1,8,25000.0,5,2,70.0,2,2.0,2,2,158,1,5,1.0,1136,3,-2.0,0,,,1,-2,1,1,15,3,1967.0,1967.0,0.0,1,2,1,,24,4,0,6,1944.0,4.0,5.0,360.0,1.0,4.0,,,1,,,1,1,2,3,2015/8/3 11:17,1,4,120,5,,,,,518.0,-5,1,7,46,10,2
1963,2,71,5,4,5,4,111,1,5,3,,2.0,,4,-2,1,1,9,25000.0,3,3,150.0,1,5.0,5,5,171,1,5,1.0,1137,2,70000.0,20000,,,1,-2,1,1,15,3,1987.0,1987.0,0.0,1,4,1,,24,4,0,6,1962.0,3.0,5.0,0.0,1.0,5.0,,,1,2.0,7.0,2,1,2,2,2015/8/4 20:08,1,3,130,1,1.0,2.0,1.0,35.0,720.0,2,1,5,49,11,1
1956,2,8,6,4,6,6,23,1,4,6,,4.0,1975.0,4,-3,-8,-8,-8,20000.0,1,2,27.0,2,4.0,4,4,162,1,2,1.0,1138,2,5000.0,20000,,,3,-2,3,1,2,7,1980.0,,0.0,1,4,1,,5,3,-8,1,,,,,,,,,1,2.0,2.0,3,0,3,3,2015/7/31 11:01,1,3,160,5,,,,,761.0,49,1,6,37,18,1
1991,1,17,2,10,1,1,33,0,5,6,,4.0,2010.0,4,1966,9,1,1,100000.0,2,3,110.0,1,5.0,5,5,175,1,5,2.0,1139,2,300000.0,20000,,,2,1968,9,1,1,1,,,,1,1,1,,6,5,1,1,,,,,,,,,1,2.0,3.0,2,0,3,2,2015/8/4 12:07,1,1,160,5,,,,,470.0,16,2,8,44,12,1
1951,2,50,4,5,7,1,83,1,2,3,,2.0,,2,-2,14,4,16,25000.0,4,1,240.0,1,2.0,4,4,172,1,2,1.0,1140,-8,60000.0,8000,,,2,-2,-8,1,16,3,1971.0,1971.0,0.0,1,4,1,,17,4,1,1,1951.0,4.0,2.0,3000.0,1.0,5.0,,,1,5.0,5.0,2,1,3,3,2015/7/25 9:14,1,3,160,5,,,,,585.0,-7,1,7,53,9,1
1932,2,35,1,-8,1,1,65,0,-8,1,,,,4,-2,1,1,2,20000.0,1,1,70.0,2,2.0,1,1,140,1,1,1.0,1141,2,-2.0,2100,,,1,-2,1,1,2,7,-2.0,,,6,5,1,,13,4,1,1,,,,,,,,,1,6.0,2.0,3,0,-8,3,2015/9/21 9:48,2,-8,70,4,,,,,360.0,-45,1,6,55,10,2
1952,2,66,4,5,3,2,105,0,5,3,,2.0,,4,-2,1,1,16,36000.0,3,2,85.0,2,4.0,3,5,160,1,2,1.0,1142,2,35000.0,12000,,,2,-2,1,1,2,3,1974.0,1974.0,0.0,1,3,1,,22,4,1,1,1952.0,4.0,2.0,24000.0,1.0,5.0,,,2,3.0,5.0,4,2,3,3,2015/7/11 10:11,1,4,110,5,,,,,550.0,30,1,7,41,11,1
1965,2,32,5,6,3,4,59,0,3,4,,4.0,1981.0,3,1933,3,1,5,-3.0,5,2,45.0,1,3.0,4,3,165,0,5,2.0,1143,2,30000.0,-3,,,3,1934,3,1,15,1,,,,1,3,1,,12,3,1,1,,,,,,,,,3,2.0,2.0,3,0,3,2,2015/8/6 14:07,1,3,130,5,,,,,610.0,-7,1,7,37,16,1
1944,2,83,5,6,4,2,126,0,4,1,,,,2,-2,1,1,2,80000.0,3,3,230.0,2,3.0,3,2,155,1,1,1.0,1144,-8,10000.0,0,,,1,-2,1,1,2,7,-2.0,,0.0,1,5,1,,29,4,1,1,,,,,,,,,1,5.0,5.0,3,3,1,2,2015/7/24 9:41,2,3,80,4,,,,,570.0,-15,1,6,52,8,1
1974,2,86,3,-8,3,3,129,1,3,4,,2.0,-2.0,5,1938,11,4,3,20000.0,5,-8,100.0,2,4.0,3,2,158,1,1,1.0,1145,1,100000.0,20000,,,-8,1936,-8,1,16,3,1997.0,1997.0,2.0,1,3,1,,31,3,1,1,1975.0,4.0,1.0,15000.0,1.0,1.0,5.0,2.0,1,5.0,6.0,2,1,1,2,2015/8/18 9:26,2,-8,90,5,,,,,740.0,-5,1,6,57,13,1
1982,2,64,5,5,5,3,102,3,4,4,,4.0,1997.0,1,1960,3,1,2,40000.0,5,3,120.0,2,4.0,5,4,165,1,1,2.0,1146,3,80000.0,20000,,,1,1961,1,1,2,3,2008.0,2008.0,3.0,1,4,1,,21,3,1,1,1981.0,7.0,4.0,20000.0,1.0,5.0,,,6,7.0,7.0,2,0,2,2,2015/7/17 19:57,1,3,107,5,,,,,630.0,-12,1,6,49,14,1
1975,2,26,1,2,2,2,48,1,3,7,,4.0,1997.0,4,1945,3,4,2,35000.0,4,2,51.0,2,4.0,4,4,163,1,2,2.0,1147,2,30000.0,0,,,2,1950,3,1,2,3,1999.0,1999.0,2.0,1,3,2,,10,3,1,1,1973.0,6.0,2.0,35000.0,1.0,1.0,1.0,1.0,2,4.0,5.0,3,1,3,3,2015/7/27 11:37,1,4,102,5,,,,,600.0,19,1,8,41,14,1
1930,2,48,5,5,5,1,80,0,5,1,,,,5,-2,1,1,2,20000.0,4,3,450.0,1,5.0,5,5,167,1,1,1.0,1148,2,-2.0,4000,,1960.0,1,-2,1,1,15,1,,,,1,5,4,,17,5,1,1,,,,,,,,,1,7.0,1.0,5,0,1,2,2015/7/24 9:02,2,3,130,4,,,,,710.0,-3,1,6,47,10,1
1991,2,62,3,7,2,2,98,0,2,4,,4.0,2006.0,4,1965,6,1,2,120000.0,1,3,210.0,1,4.0,5,5,167,2,1,1.0,1149,3,200000.0,36000,,,1,1967,3,1,5,1,,,,8,4,1,,21,4,1,3,,,,,,,,,3,5.0,2.0,2,0,1,2,2015/7/16 10:57,2,4,120,3,,,,,720.0,47,1,8,29,12,1
1972,2,69,2,4,1,1,109,1,3,2,,,,2,1944,1,1,2,40000.0,3,2,100.0,2,4.0,2,3,157,1,1,1.0,1150,3,30000.0,15000,,,1,1946,1,1,15,3,1991.0,1991.0,1.0,1,4,1,,23,2,1,3,1972.0,4.0,1.0,15000.0,1.0,2.0,,,3,7.0,6.0,2,2,3,3,2015/9/25 18:50,2,3,118,1,3.0,5.0,2.0,3.0,610.0,37,1,6,50,8,1
1960,1,1,5,5,4,2,6,1,4,6,,4.0,1976.0,3,1939,3,1,2,90000.0,1,4,99.0,2,4.0,4,4,165,1,5,1.0,1151,2,-2.0,48000,,,2,1941,1,1,2,3,1981.0,1981.0,0.0,1,3,1,,1,4,1,1,1957.0,4.0,5.0,42000.0,1.0,1.0,3.0,1.0,2,6.0,5.0,2,0,2,2,2015/8/24 9:29,1,4,130,1,2.0,3.0,1.0,20.0,781.0,28,1,6,42,18,2
1950,2,23,6,7,5,3,45,1,4,4,,4.0,1964.0,2,-2,-8,-8,16,-3.0,4,3,187.0,2,3.0,2,2,157,1,5,1.0,1152,3,36000.0,10000,,,1,-2,1,1,1,3,1970.0,1970.0,0.0,1,3,1,,9,3,1,1,1944.0,4.0,5.0,10000.0,1.0,5.0,,,4,6.0,7.0,2,1,2,2,2015/7/5 12:06,1,4,120,5,,,,,468.0,-7,1,5,41,13,2
1963,2,41,4,5,3,2,72,0,3,3,,2.0,,4,1910,1,1,2,60000.0,6,3,100.0,2,4.0,2,3,150,1,1,2.0,1153,3,20000.0,10000,,,1,-2,1,1,2,3,1983.0,1983.0,1.0,1,4,1,,15,1,1,1,1962.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,1,1.0,1.0,4,2,1,3,2015/7/15 9:43,2,3,116,3,,,,,540.0,-26,1,7,50,10,1
1950,2,86,1,1,1,1,129,2,4,3,,4.0,1964.0,3,-2,1,4,1,5000.0,4,1,60.0,2,2.0,2,5,160,1,2,1.0,1154,3,10000.0,0,,,1,-2,1,1,15,7,1972.0,,0.0,1,5,1,,31,3,1,1,,,,,,,,,1,6.0,7.0,3,2,2,3,2015/8/20 11:20,1,3,120,5,,,,,540.0,12,1,7,52,11,1
1934,2,69,4,4,2,1,109,4,3,1,,,,5,1900,1,1,2,20000.0,8,2,60.0,2,5.0,2,2,151,1,1,1.0,1155,2,5000.0,-1,,,1,1900,1,1,15,7,1951.0,,0.0,1,3,1,,23,3,0,1,,,,,,,,,3,7.0,5.0,2,2,2,2,2015/9/25 8:44,2,5,105,6,,,,,680.0,40,1,6,56,7,1
1965,2,36,4,4,3,2,66,2,3,3,,2.0,,4,-2,1,1,2,30000.0,2,2,300.0,1,4.0,2,2,165,1,2,1.0,1156,3,50000.0,15000,,,1,-2,1,1,2,3,1985.0,1985.0,0.0,1,4,1,,13,3,1,1,1965.0,3.0,2.0,10000.0,1.0,3.0,,,6,5.0,2.0,3,1,1,3,2015/9/21 15:25,1,4,120,3,,,,,570.0,36,1,7,50,8,1
1951,1,7,5,5,5,8,16,1,4,4,,4.0,1965.0,3,1934,6,4,1,100000.0,2,-8,115.0,2,5.0,3,1,162,1,5,2.0,1157,-8,-2.0,50000,,,3,1934,3,1,1,3,1975.0,1975.0,0.0,1,3,1,,4,4,1,1,1947.0,12.0,5.0,-3.0,4.0,5.0,,,6,3.0,1.0,2,0,1,2,2015/10/1 10:06,1,3,140,5,,,,,750.0,35,1,6,29,24,1
1940,2,42,5,8,2,2,73,0,4,4,,4.0,-2.0,3,1895,2,1,2,25000.0,2,4,100.0,1,5.0,5,4,165,1,1,1.0,1158,-8,-2.0,0,,,2,1904,1,1,2,3,1960.0,1960.0,0.0,1,5,1,,15,4,1,1,1942.0,1.0,1.0,-1.0,1.0,4.0,,,1,2.0,2.0,2,2,1,2,2015/7/14 18:39,2,4,128,2,,,,,720.0,48,1,8,42,13,1
1945,2,84,4,6,2,1,127,1,4,1,,,,4,-2,1,1,2,8000.0,1,1,80.0,1,4.0,4,3,164,1,1,1.0,1159,2,10000.0,7000,,,1,-2,1,1,2,7,1978.0,,0.0,1,5,1,,29,4,1,1,,,,,,,,,4,6.0,2.0,2,3,1,3,2015/7/23 9:20,2,5,115,2,,,,,620.0,-9,1,6,51,12,1
1975,2,71,4,6,3,7,111,0,3,3,,4.0,-2.0,2,-2,1,1,2,100000.0,3,3,100.0,1,3.0,4,5,175,1,4,1.0,1160,2,10000.0,-2,,,1,1948,1,1,2,3,2005.0,2005.0,1.0,1,4,1,,24,1,1,1,1975.0,1.0,1.0,-1.0,1.0,1.0,2.0,1.0,1,2.0,3.0,2,1,2,2,2015/8/10 13:10,1,4,130,1,-8.0,2.0,1.0,25.0,-18.0,45,1,8,47,11,1
1994,2,22,5,8,2,5,44,0,5,4,,4.0,2009.0,3,-2,4,1,9,80000.0,5,3,330.0,2,5.0,5,5,163,1,1,1.0,1161,2,50000.0,50000,,,1,-2,3,1,9,3,2011.0,2011.0,1.0,1,5,1,,9,4,1,1,1992.0,4.0,1.0,30000.0,1.0,1.0,4.0,2.0,3,3.0,1.0,4,1,1,2,2015/7/4 15:10,2,3,100,1,4.0,4.0,2.0,3.0,720.0,32,1,6,38,15,1
1950,2,7,4,5,1,1,20,1,3,4,,4.0,1967.0,4,-2,-8,1,4,50000.0,4,3,46.0,2,4.0,3,3,164,1,5,2.0,1162,2,-2.0,30000,,,4,1931,1,1,5,3,1979.0,1979.0,0.0,1,3,1,,4,5,1,1,1950.0,4.0,5.0,20000.0,1.0,5.0,,,4,5.0,5.0,3,0,3,3,2015/10/1 14:41,1,4,130,5,,,,,760.0,59,1,6,35,19,1
1930,1,44,5,5,5,4,75,1,3,3,,2.0,,3,1908,3,1,2,144000.0,6,2,142.0,2,4.0,2,4,150,1,2,1.0,1163,-8,24000.0,24000,,,1,1912,1,1,15,7,1948.0,,0.0,1,5,1,,16,4,0,1,,,,,,,,,1,7.0,7.0,2,3,1,2,2015/7/26 8:49,1,2,145,5,,,,,690.0,30,2,6,47,10,1
1946,2,36,4,7,3,2,66,0,4,3,,2.0,,4,1929,5,1,1,3000.0,1,2,640.0,1,4.0,4,5,170,1,1,1.0,1164,2,-2.0,0,,,4,1928,1,1,2,1,,,,6,4,1,,13,4,-8,1,,,,,,,,,3,1.0,1.0,4,0,1,2,2015/9/21 16:45,2,4,103,2,,,,,540.0,28,1,6,47,9,1
1950,2,81,3,3,2,2,122,1,2,1,,,,3,1918,1,1,2,10000.0,2,3,120.0,2,3.0,2,2,162,1,1,1.0,1165,2,70000.0,2000,,,1,1921,1,1,2,3,1970.0,1970.0,0.0,1,5,1,,28,3,1,1,1947.0,1.0,1.0,1000.0,1.0,3.0,,,2,4.0,3.0,3,3,1,2,2015/8/1 13:23,2,4,85,3,,,,,630.0,30,1,6,56,7,1
1989,2,27,6,7,5,5,49,0,3,10,,4.0,2011.0,3,1960,10,4,1,50000.0,3,2,100.0,1,5.0,5,5,178,2,2,3.0,1166,2,100000.0,50000,,,3,1960,6,1,1,3,2013.0,2013.0,1.0,1,2,1,,10,3,1,1,1990.0,10.0,2.0,0.0,1.0,5.0,,,6,3.0,6.0,2,1,1,2,2015/7/30 11:04,1,2,136,1,3.0,3.0,1.0,4.0,580.0,30,1,6,39,18,1
1992,2,76,5,7,4,4,116,0,4,6,,4.0,2009.0,4,1965,1,1,2,56000.0,1,2,80.0,1,3.0,4,4,173,0,1,1.0,1167,2,-2.0,54000,,,2,1968,1,1,2,1,,,,1,2,1,,26,3,1,1,,,,,,,,,5,,,1,0,1,2,2015/10/1 13:25,1,4,120,1,3.0,3.0,1.0,6.0,630.0,7,1,7,40,13,1
1979,2,19,1,1,5,5,41,2,1,1,,,,3,1945,1,1,2,30000.0,5,2,180.0,2,1.0,3,3,170,1,4,1.0,1168,4,50000.0,0,,,1,1945,1,1,2,3,1998.0,1998.0,3.0,4,3,1,,8,4,0,4,1979.0,3.0,4.0,30000.0,1.0,1.0,5.0,1.0,1,,,1,1,3,3,2015/8/3 20:20,1,4,110,1,3.0,5.0,2.0,25.0,460.0,38,1,8,44,11,1
1946,2,65,2,1,3,1,103,0,2,1,,,,1,-3,1,1,2,1000.0,2,2,80.0,2,4.0,1,2,150,1,1,1.0,1169,3,1000000.0,200,,,1,-2,1,1,2,3,1967.0,1967.0,0.0,1,2,1,,22,4,1,1,1947.0,4.0,1.0,800.0,1.0,3.0,,,1,5.0,7.0,2,3,2,3,2015/7/7 18:07,2,4,80,3,,,,,576.0,5,1,6,50,7,2
1954,2,49,2,-8,1,1,82,1,2,14,夜校,4.0,-2.0,3,-2,2,1,2,6320.0,2,2,64.0,2,4.0,1,1,165,1,1,1.0,1170,3,36000.0,2500,,,4,-2,1,1,2,3,1975.0,1975.0,0.0,1,5,1,,17,5,1,1,1952.0,3.0,1.0,3710.0,1.0,3.0,,,1,,,1,1,3,2,2015/7/23 16:58,2,4,98,2,,,,,390.0,-13,1,6,38,10,1
1970,2,15,5,5,4,4,31,0,3,4,,4.0,1985.0,3,-2,1,1,2,90000.0,5,3,26.0,2,3.0,2,3,160,1,1,2.0,1171,3,50000.0,20000,,,2,-2,1,1,2,3,1988.0,1988.0,0.0,1,3,1,,6,2,1,1,1967.0,4.0,1.0,20000.0,1.0,1.0,2.0,1.0,2,3.0,3.0,2,1,1,2,2015/8/8 8:11,1,3,120,5,,,,,540.0,23,1,6,47,10,1
1989,1,39,5,8,4,3,70,1,4,10,,4.0,2011.0,3,1967,3,1,2,100000.0,5,3,250.0,1,4.0,4,4,170,1,1,1.0,1172,3,70000.0,50000,,,3,1967,3,1,2,3,2013.0,2013.0,0.0,1,4,2,,15,4,1,1,1989.0,10.0,1.0,3000.0,1.0,5.0,,,3,2.0,2.0,3,1,1,2,2015/7/12 13:28,1,4,140,1,3.0,3.0,1.0,4.0,590.0,19,1,6,34,15,1
1982,2,44,3,3,4,2,75,1,4,4,,4.0,1996.0,1,1953,3,1,2,80000.0,4,2,100.0,2,1.0,4,4,165,-3,5,1.0,1173,3,100000.0,15000,,,2,1955,3,1,5,3,2003.0,2003.0,2.0,1,5,2,,16,2,1,1,1977.0,4.0,2.0,30000.0,1.0,1.0,3.0,1.0,2,6.0,6.0,3,1,2,3,2015/7/24 11:00,1,3,92,1,3.0,3.0,1.0,12.0,300.0,42,1,8,47,15,1
1965,2,72,3,3,3,2,112,0,5,3,,2.0,,3,1942,3,1,2,-2.0,2,3,130.0,2,3.0,3,5,159,2,1,1.0,1174,-8,100000.0,0,,,1,1944,4,1,2,3,1987.0,1987.0,0.0,1,5,1,,24,3,1,6,1963.0,6.0,1.0,0.0,1.0,2.0,,,6,1.0,1.0,5,2,2,2,2015/8/2 19:27,2,3,140,2,,,,,500.0,43,1,6,50,10,1
1950,2,56,6,6,6,4,90,0,5,3,,2.0,,4,-2,3,1,2,40000.0,1,3,80.0,2,5.0,4,4,157,2,4,1.0,1175,2,40000.0,40000,,,1,-2,1,1,2,7,-2.0,,0.0,1,5,1,,19,4,1,1,,,,,,,,,3,6.0,5.0,5,2,2,2,2015/7/19 10:52,1,4,110,5,,,,,592.0,41,1,6,48,11,1
1956,2,36,1,1,1,1,66,1,4,3,,4.0,-2.0,-8,-2,1,1,2,4000.0,2,1,60.0,2,2.0,4,4,160,1,1,1.0,1176,4,10000.0,3000,,,1,-2,1,1,2,3,-2.0,-2.0,0.0,8,5,1,,13,2,1,1,1945.0,3.0,1.0,1000.0,1.0,3.0,,,1,5.0,5.0,3,5,2,3,2015/9/23 10:36,2,-8,120,3,,,,,758.0,0,1,6,54,9,1
1994,2,78,4,6,2,2,118,0,2,12,,1.0,2014.0,4,1973,4,1,10,140000.0,3,2,73.0,2,4.0,3,4,161,1,1,3.0,1177,-8,200000.0,0,,,4,1975,3,1,7,1,,,,1,2,2,,27,4,1,1,,,,,,,,,2,5.0,7.0,2,0,2,2,2015/8/3 11:23,1,4,120,6,,,,,500.0,45,1,7,40,14,1
1984,1,25,5,8,5,4,47,0,4,7,,4.0,2003.0,2,1959,4,1,1,120000.0,2,3,100.0,2,5.0,5,5,170,1,2,2.0,1178,2,100000.0,32000,,,3,1957,4,1,2,3,2008.0,2008.0,0.0,1,4,1,,10,4,1,1,1984.0,4.0,2.0,100000.0,1.0,1.0,3.0,1.0,1,2.0,1.0,4,1,2,2,2015/7/26 15:40,1,3,130,1,1.0,8.0,1.0,10.0,823.0,57,1,5,33,19,1
1956,2,34,1,2,4,7,63,1,4,7,,4.0,1977.0,1,-2,-8,-8,1,-2.0,3,2,89.0,2,4.0,4,4,170,1,2,1.0,1179,-8,-2.0,36000,,,1,-2,3,1,1,3,1981.0,1981.0,0.0,1,3,1,,12,4,1,1,1956.0,6.0,2.0,-3.0,1.0,5.0,,,3,2.0,5.0,4,0,2,3,2015/8/8 15:58,1,3,180,5,,,,,380.0,37,1,6,49,12,1
